D	C	c	E	e	white_frequency	black_frequency
0	1	0	1	0	0.0	0.0
1	1	0	1	0	0.0	0.0
0	0	1	1	0	0.0	0.0
1	0	1	1	0	0.023	0.0020222446916076
0	1	1	1	0	0.0	0.0
1	1	1	1	0	0.001	0.0
0	1	0	0	1	0.0	0.0
1	1	0	0	1	0.185	0.0202224469160768
0	0	1	0	1	0.151	0.0687563195146612
1	0	1	0	1	0.021	0.4630940343781597
0	1	1	0	1	0.008	0.0050556117290192
1	1	1	0	1	0.349	0.2123356926188068
0	1	0	1	1	0.0	0.0
1	1	0	1	1	0.002	0.0
0	0	1	1	1	0.009	0.0
1	0	1	1	1	0.118	0.1880687563195146
0	1	1	1	1	0.0	0.0
1	1	1	1	1	0.133	0.0404448938321536
